probe 

0	t=0.000000	p0=33.266689	h0=9.999996
1	t=0.285774	p0=33.280091	h0=9.999563
2	t=0.000000	p0=0.000000	h0=0.000000
3	t=0.000000	p0=0.000000	h0=0.000000
4	t=0.000000	p0=0.000000	h0=0.000000
5	t=0.000000	p0=0.000000	h0=0.000000
6	t=0.000000	p0=0.000000	h0=0.000000
7	t=0.000000	p0=0.000000	h0=0.000000
8	t=0.000000	p0=0.000000	h0=0.000000
9	t=0.000000	p0=0.000000	h0=0.000000
10	t=0.000000	p0=0.000000	h0=0.000000
11	t=0.000000	p0=0.000000	h0=0.000000
12	t=0.000000	p0=0.000000	h0=0.000000
13	t=0.000000	p0=0.000000	h0=0.000000
14	t=0.000000	p0=0.000000	h0=0.000000
15	t=0.000000	p0=0.000000	h0=0.000000
16	t=0.000000	p0=0.000000	h0=0.000000
17	t=0.000000	p0=0.000000	h0=0.000000
18	t=0.000000	p0=0.000000	h0=0.000000
19	t=0.000000	p0=0.000000	h0=0.000000
20	t=0.000000	p0=0.000000	h0=0.000000
21	t=0.000000	p0=0.000000	h0=0.000000
22	t=0.000000	p0=0.000000	h0=0.000000
23	t=0.000000	p0=0.000000	h0=0.000000
24	t=0.000000	p0=0.000000	h0=0.000000
25	t=0.000000	p0=0.000000	h0=0.000000
26	t=0.000000	p0=0.000000	h0=0.000000
27	t=0.000000	p0=0.000000	h0=0.000000
28	t=0.000000	p0=0.000000	h0=0.000000
29	t=0.000000	p0=0.000000	h0=0.000000
30	t=0.000000	p0=0.000000	h0=0.000000
31	t=0.000000	p0=0.000000	h0=0.000000
32	t=0.000000	p0=0.000000	h0=0.000000
33	t=0.000000	p0=0.000000	h0=0.000000
34	t=0.000000	p0=0.000000	h0=0.000000
35	t=0.000000	p0=0.000000	h0=0.000000
36	t=0.000000	p0=0.000000	h0=0.000000
37	t=0.000000	p0=0.000000	h0=0.000000
38	t=0.000000	p0=0.000000	h0=0.000000
39	t=0.000000	p0=0.000000	h0=0.000000
40	t=0.000000	p0=0.000000	h0=0.000000
41	t=0.000000	p0=0.000000	h0=0.000000
